BITACORA_BACKUP_V1
id,plataforma,asunto,descripcion,fecha,inicio,fin,etapa,personal,locacion,impacto,riesgo,estado,comentarios,creado
"MS-018","TDT LIMA","Visita Previa","El personal de FIMTEL estara realizando una visita previa para iniciar con el trabajo de mantenimiento de la torre a partir del 1 de junio","2026-05-29","07:30","10:30","[""Transmisión""]","[""Personal Externo""]","Planta TDT Bethel","Ninguno","Bajo","PGM","[]","1780012822000"
"MS-017","100.1 FM","Correccion de Configuracion IRD
Ruta de respaldo FM Lima","Debido a el cambio de parametro satelital, es URGENTE y necesario hacer la actualización en el IRD, y dejar nuevamente habilitada esta ruta de respaldo de nuestra señal de radio FM en Lima","2026-05-15","09:30","13:00","[""Cabecera"",""Contribución""]","[""Manuel Alvarado"",""Israel Arenas"",""Paul Condor""]","Antenas Morro Solar","100.1 FM: Corte de transmisión
10 seg","Alto","FIN","[{""fecha"":""15/05/2026"",""texto"":""Se reinició manualmente el IRD y realizó el cambio de Symbol Rate, Luego se realizó la validacion de operatividad respectiva""}]","1778803221000"
"MS-016","TDT LIMA","Visita Proveedor/ Solicitud de cotización de Pintado de Caseta","Solicitud de Visita de Proveedor para cotización del pintado de la sala de transmisión, instalación del Zócalo y adecuacion del baño principal.","2026-05-13","09:30","11:00","[""Transmisión""]","[""Manuel Alvarado"",""Personal Externo""]","Planta TDT Bethel","Ninguno","Bajo","FIN","[]","1778630420000"
"MS-015","TDT LIMA","Visita técnica KOLFF/ Solicitud de cotización","Solicitud de Visita de Proveedor para cotización de un UPS para el morro solar","2026-04-30","09:00","11:00","[""Planta""]","[""Carlos Ramos"",""Manuel Alvarado"",""Paul Condor""]","Planta TDT Bethel","Ninguno","Bajo","FIN","[]","1777507219000"
"MS-014","TDT LIMA","Supervición de trabajos en el morro solar","Revisión de los trabajos finales, Cambio de piso del morro","2026-04-29","09:00","13:00","[""Planta""]","[""Manuel Alvarado"",""Paul Condor""]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""29/04/2026"",""texto"":""El trabajo se realizó de manera satisfactoria en la fecha programada, queda pendiente con el proveedor la cotizacion del zócalo y el pintado de las paredes""}]","1777420818000"
"MS-013","TDT LIMA","Reubicación temporal de transmisor digital","Reubicación FINAL del transmisor digital en operación dentro de la caseta TDT Morro Solar, a fin de liberar el área pendiente para la continuidad del cambio de piso.
La actividad incluye desconexión controlada, traslado del transmisor, adecuación de línea rígida, filtro y sistema de refrigeramiento, y posterior puesta en operación.","2026-04-28","22:00","05:00","[""Transmisión"",""Planta""]","[""Carlos Ramos"",""Manuel Alvarado"",""Israel Arenas"",""Sócrates Purizaca"",""José Espíritu""]","Planta TDT Bethel","25.1: Corte programado de transmisión
(4 horas desde las 00:00)","Alto","FIN","[]","1777334417000"
"MS-012","TDT LIMA","Reubicación temporal de transmisor digital","Reubicación temporal del transmisor digital en operación dentro de la caseta TDT Morro Solar, a fin de liberar el área pendiente para la continuidad del cambio de piso.
La actividad incluye desconexión controlada, traslado del transmisor, adecuación de línea rígida, filtro y sistema de refrigeramiento, y posterior puesta en operación.","2026-04-28","22:00","05:00","[""Transmisión"",""Planta""]","[""Carlos Ramos"",""Manuel Alvarado"",""Israel Arenas"",""Juan Lorenzo"",""Sócrates Purizaca""]","Planta TDT Bethel","25.1: Corte programado de transmisión
(4 horas)","Alto","FIN","[]","1777334416000"
"MS-011","TDT LIMA","Cambio de entrada de internet definitivo","Se realizará el cambio de la entrada de internet directamente desde el Switch Core, y verificando el envio y recepcion de señal entre estudios y planta, durante este trabajo la señal principal del aire estara conectada al respaldo sateital","2026-04-08","15:00","16:00","[""Contribución"",""Lan2Lan""]","[""Manuel Alvarado"",""Edison Moya""]","Calle Mariano Carranza 565","25.1: SIN CORTE de transmisión
25.2: Corte de Transmisión 2 min
25.3: Corte de Transmisión 2 min","Bajo","FIN","[]","1775606415000"
"MS-010","TDT LIMA","Pruebas de descarte
Cambio de entrada de internet","Se realizará una prueba de descarte, conectando la entrada de internet directamente desde el Switch Core, y verificando el envio y recepcion de señal entre estudios y planta, durante este trabajo la señal principal del aire estara conectada al respaldo sateital","2026-04-06","12:30","13:00","[""Contribución"",""Lan2Lan""]","[""Manuel Alvarado"",""Edison Moya""]","Calle Mariano Carranza 565","25.1: SIN CORTE de transmisión
25.2: Corte de Transmisión 5 min
25.3: Corte de Transmisión 5 min","Bajo","FIN","[{""fecha"":""06/04/2026"",""texto"":""Se hicieron pruebas de testeo a ambos cables UTP que estaban instalados inicialmente al cambiarlo por otro se crrigieron las fallas, ademas se cambio la coneccion, conectando directo al switch Core""}]","1775433614000"
"MS-009","TDT LIMA","Supervición de trabajos en el morro solar","Entrega del Altillo y el mantenimiento de la puerta terminados","2026-03-13","14:30","17:30","[""Planta""]","[""Carlos Ramos"",""Manuel Alvarado"",""Paul Condor""]","Planta TDT Bethel","Ninguno","Bajo","FIN","[{""fecha"":""13/03/2026"",""texto"":""Los trabajos se culminaron de manera satisfactoria en menor tiempo. tambien se dio inicio a los trabajos de picado de la loceta, para el cambio de piso de la sala de transmisión""}]","1773360013000"
